YBR288C YJR121W
YBR288C YLR044C
YBR288C YLR180W
YBR288C YLR259C
YBR288C YML085C
YBR288C YMR214W
YBR288C YNL071W
YBR288C YPL016W
YBR288C YPL195W
YBR293W YGR174C
YBR293W YLR083C
YCL014W YCR002C
YCL014W YGR220C
YCL017C YLR310C
YCL017C YPL026C
YCL018W YCR002C
YCL018W YCR084C
YCL018W YCR092C
YCL018W YDL017W
YCL018W YDL047W
YCL018W YDL059C
YCL018W YDL101C
YCL018W YDL145C
YCL018W YDL225W
YCL018W YDR113C
YCL018W YDR267C
YCL018W YDR488C
YCL018W YDR523C
YCL018W YEL056W
YCL018W YER012W
YCL018W YER173W
YCL018W YFR040W
YCL018W YGL137W
YCL018W YGR040W
YCL018W YGR262C
YCL018W YHR030C
YCL018W YHR135C
YCL018W YIL035C
YCL018W YIL128W
YCL018W YIL147C
YCL018W YJL092W
YCL018W YJL128C
YCL018W YJL157C
YCL018W YKL166C
YCL018W YKR026C
YCL018W YLR006C
YCL018W YLR175W
YCL018W YLR229C
YCL018W YLR314C
YCL018W YML016C
YCL018W YML115C
YCL018W YMR106C
YCL018W YMR116C
YCL018W YMR117C
YCL018W YNL094W
YCL018W YNL106C
YCL018W YNL128W
YCL018W YNL135C
YCL018W YNL183C
YCL018W YNR031C
YCL018W YOL062C
YCL018W YOL115W
YCL018W YOL139C
YCL018W YOR061W
YCL018W YOR125C
YCL018W YOR351C
YCL018W YPL026C
YCL018W YPL259C
YCL018W YPR017C
YCL024W YCR002C
YCL024W YDL225W
YCL024W YFR028C
YCL024W YHR107C
YCL024W YJR076C
YCL024W YLR314C
YCL026C-A YGL213C
YCL030C YLR044C
YCL030C YLR180W
YCL030C YML124C
YCL043C YIL035C
YCL043C YIR001C
YCL043C YJR076C
YCL043C YLR233C
YCL043C YLR354C
YCL043C YNL135C
YCL043C YOL062C
YCL048W YDL017W
YCL058C YPL215W
YCL061C YLR103C
YCL061C YNL273W
YCL061C YOR080W
YCL063W YJL173C
YCL063W YLR373C
YCL063W YLR423C
YCL064C YDR523C
YCL064C YER173W
YCL064C YHR030C
YCL064C YKL166C
YCL064C YMR106C
YCL064C YNL312W
YCR002C YDL055C
YCR002C YDL225W
YCR002C YDR324C
YCR002C YDR507C
YCR002C YER043C
YCR002C YFL018C
YCR002C YFR030W
YCR002C YFR053C
YCR002C YGL105W
YCR002C YGL234W
YCR002C YGL253W
YCR002C YGR155W
YCR002C YHR107C
YCR002C YJR045C
YCR002C YJR076C
YCR002C YJR121W
YCR002C YLR044C
YCR002C YLR180W
YCR002C YLR259C
YCR002C YLR314C
YCR002C YMR108W
YCR002C YNL166C
YCR002C YNL312W
YCR002C YOR136W
YCR005C YKL085W
YCR005C YKL152C
YCR005C YPL245W
YCR008W YMR047C
YCR015C YGR163W
YCR022C YDL017W
YCR022C YHR114W
YCR023C YMR075C-A
YCR023C YMR075W
YCR024C YER146W
YCR027C YKL152C
YCR028C-A YDR097C
YCR028C-A YJR144W
YCR028C-A YNL298W
YCR028C-A YPR161C
YCR034W YDR297W
YCR034W YDR331W
YCR034W YDR414C
YCR034W YEL002C
YCR034W YEL017C-A
YCR034W YFL025C
YCR034W YFL048C
YCR034W YGL055W
YCR034W YGL200C
YCR034W YGR191W
YCR034W YHL048W
YCR034W YHR110W
YCR034W YHR123W
YCR034W YHR133C
YCR034W YHR142W
YCR034W YIR022W
YCR034W YJL222W
YCR034W YKL212W
YCR034W YLR018C
YCR034W YML067C
YCR034W YMR058W
YCR034W YMR149W
YCR034W YMR215W
YCR034W YNL048W
YCR034W YNL101W
YCR034W YOL020W
YCR034W YOL030W
YCR034W YOL132W
YCR034W YOR049C
YCR034W YPL274W
YCR044C YDR331W
YCR044C YHR114W
YCR046C YGR220C
YCR046C YKL139W
YCR046C YNL284C
YCR053W YJR007W
YCR053W YLR314C
YCR053W YNL244C
YCR059C YDR400W
YCR071C YGR220C
YCR071C YNL284C
YCR073C YDR170C
YCR073C YHR027C
YCR073C YIL051C
YCR073C YJL128C
YCR073C YLR006C
YCR073C YNR031C
YCR081W YOL135C
YCR084C YDL105W
YCR084C YGR254W
YCR084C YJL156C
YCR084C YJR045C
YCR084C YLR313C
YCR084C YMR012W
YCR084C YNL021W
YCR084C YNL030W
YCR084C YNL167C
YCR084C YOL004W
YCR084C YPL220W
YCR084C YPL258C
YCR086W YDR061W
YCR086W YDR309C
YCR086W YFL008W
YCR086W YFR028C
YCR086W YGL175C
YCR086W YGR155W
YCR086W YHR061C
YCR086W YJL095W
YCR086W YKR010C
YCR086W YML095C
YCR086W YML109W
YCR086W YOL020W
YCR086W YOR061W
YCR092C YDR097C
YCR092C YDR224C
YCR092C YER091C
YCR092C YGR240C
YCR092C YLR355C
YCR092C YNR058W
YCR092C YOL090W
YCR098C YHR110W
YCR098C YJL184W
YCR098C YPL274W
YDL001W YIR009W
YDL001W YLR457C
YDL001W YMR079W
YDL003W YFL008W
YDL003W YFR027W
YDL003W YIL026C
YDL003W YJL074C
YDL004W YJR121W
YDL008W YHR166C
YDL008W YOR249C
YDL011C YEL023C
YDL012C YFR047C
YDL014W YGR090W
YDL014W YGR274C
YDL014W YHR089C
YDL014W YIL131C
YDL014W YLR175W
YDL014W YLR197W
YDL014W YOL102C
YDL014W YOR310C
YDL017W YDL080C
YDL017W YDL192W
YDL017W YDR052C
YDL017W YEL023C
YDL017W YFL037W
YDL017W YGL137W
YDL017W YGL151W
YDL017W YGR099W
YDL017W YHR027C
YDL017W YHR184W
YDL017W YIL148W
YDL017W YJR045C
YDL017W YJR121W
YDL017W YLR134W
YDL017W YLR231C
YDL017W YLR259C
YDL017W YLR331C
YDL017W YLR386W
YDL017W YML085C
YDL017W YML124C
YDL017W YMR214W
YDL017W YNL071W
YDL017W YNR048W
YDL017W YOL055C
YDL017W YPL218W
YDL017W YPL258C
YDL040C YHR013C
YDL040C YMR116C
YDL041W YIR002C
YDL044C YGR056W
YDL044C YLL051C
YDL044C YLR386W
YDL047W YDL143W
YDL047W YDL219W
YDL047W YDR188W
YDL047W YER043C
YDL047W YER155C
YDL047W YFL037W
YDL047W YFR019W
YDL047W YFR040W
YDL047W YFR053C
YDL047W YGL062W
YDL047W YGL246C
YDL047W YGR184C
YDL047W YGR240C
YDL047W YGR254W
YDL047W YGR282C
YDL047W YIL061C
YDL047W YIL094C
YDL047W YJR045C
YDL047W YJR105W
YDL047W YKL139W
YDL047W YKL195W
YDL047W YLR044C
YDL047W YLR180W
YDL047W YLR259C
YDL047W YLR310C
YDL047W YLR355C
YDL047W YML124C
YDL047W YMR024W
YDL047W YMR108W
YDL047W YMR145C
YDL047W YNL037C
YDL047W YNL101W
YDL047W YNR016C
YDL052C YDL143W
YDL052C YDR170C
YDL052C YFR009W
YDL052C YGL195W
YDL052C YKR026C
YDL052C YML115C
YDL052C YMR106C
YDL052C YNL138W
YDL055C YDR386W
YDL055C YER012W
YDL055C YFR040W
YDL055C YGR262C
YDL055C YHR030C
YDL055C YHR135C
YDL055C YJL173C
YDL055C YJR042W
YDL055C YJR076C
YDL055C YKL108W
YDL055C YLR442C
YDL055C YMR106C
YDL055C YOL108C
YDL055C YOR080W
YDL055C YOR125C
YDL056W YIL131C
YDL056W YLR182W
YDL058W YNL030W
YDL059C YDL130W
YDL059C YDR148C
YDL059C YER031C
YDL059C YER052C
YDL059C YER155C
YDL059C YFL016C
YDL059C YFL037W
YDL059C YFL045C
YDL059C YFR053C
YDL059C YGL137W
YDL059C YGR282C
YDL059C YHR179W
YDL059C YIL021W
YDL059C YIL053W
YDL059C YJL130C
YDL059C YJR045C
YDL059C YJR121W
